date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:27	633/633	---MCZ	200	added ('OK')	text/plain	date:Sat,%2025%20Oct%202025%2003:45:31%20GMT	https://demo.web3canvas.com/robots.txt		(from )
10:45:28	52530/52530	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jun%202016%2014:26:30%20GMT	https://demo.web3canvas.com/themeforest/tomato/?storefront=envato-elements	C:/My%20Web%20Sites/NHAHANG/demo.web3canvas.com/themeforest/tomato/index04b9.html	(from )
10:45:28	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2256562ac4-3aee%22	https://demo.web3canvas.com/themeforest/tomato/img/favicon.ico	C:/My%20Web%20Sites/NHAHANG/demo.web3canvas.com/themeforest/tomato/img/favicon.ico	(from https://demo.web3canvas.com/themeforest/tomato/?storefront=envato-elements)
10:45:28	113498/113498	---MCZ	200	added ('OK')	text/css	etag:W/%2256562a68-1bb5a%22	https://demo.web3canvas.com/themeforest/tomato/css/bootstrap.min.css	C:/My%20Web%20Sites/NHAHANG/demo.web3canvas.com/themeforest/tomato/css/bootstrap.min.css	(from https://demo.web3canvas.com/themeforest/tomato/?storefront=envato-elements)
10:45:28	32318/32318	---MCZ	200	added ('OK')	text/css	etag:W/%2256562a7c-7e3e%22	https://demo.web3canvas.com/themeforest/tomato/css/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/NHAHANG/demo.web3canvas.com/themeforest/tomato/css/font-awesome/css/font-awesome.css	(from https://demo.web3canvas.com/themeforest/tomato/?storefront=envato-elements)
10:45:29	139869/139869	---MCZ	200	added ('OK')	text/css	etag:W/%22575c1fc6-2225d%22	https://demo.web3canvas.com/themeforest/tomato/css/plugin.css	C:/My%20Web%20Sites/NHAHANG/demo.web3canvas.com/themeforest/tomato/css/plugin.css	(from https://demo.web3canvas.com/themeforest/tomato/?storefront=envato-elements)
10:45:29	74533/74533	---MCZ	200	added ('OK')	text/css	etag:W/%2256f44d32-12325%22	https://demo.web3canvas.com/themeforest/tomato/css/main.css	C:/My%20Web%20Sites/NHAHANG/demo.web3canvas.com/themeforest/tomato/css/main.css	(from https://demo.web3canvas.com/themeforest/tomato/?storefront=envato-elements)
10:45:30	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2025%20Oct%202025%2003:45:33%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/NHAHANG/connect.facebook.net/en_US/fbevents.5.delayed	(from https://demo.web3canvas.com/themeforest/tomato/?storefront=envato-elements)
10:45:30	333466/333466	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2025%20Oct%202025%2003:45:34%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/NHAHANG/connect.facebook.net/en_US/fbevents.js	(from https://demo.web3canvas.com/themeforest/tomato/?storefront=envato-elements)
10:45:30	2274/2274	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2256562ac8-8e2%22	https://demo.web3canvas.com/themeforest/tomato/img/preloader.svg	C:/My%20Web%20Sites/NHAHANG/demo.web3canvas.com/themeforest/tomato/img/preloader.svg	(from https://demo.web3canvas.com/themeforest/tomato/?storefront=envato-elements)
